comuna,codcomuna,turnout2021_ballotage
ALHUE,13502,21.58
BUIN,13402,19.48
CALERA DE TANGO,13403,25.58
CERRILLOS,13102,22.15
CERRO NAVIA,13103,19.12
COLINA,13301,24.79
CONCHALI,13104,21.93
CURACAVI,13503,22.79
EL BOSQUE,13105,18.85
EL MONTE,13602,20.58
ESTACION CENTRAL,13106,21.51
HUECHURABA,13107,28.56
INDEPENDENCIA,13108,21.96
ISLA DE MAIPO,13603,23.38
LA CISTERNA,13109,24.59
LA FLORIDA,13110,28.33
LA GRANJA,13111,20.5
LA PINTANA,13112,16.07
LA REINA,13113,41.87
LAMPA,13302,18.84
LAS CONDES,13114,43.42
LO BARNECHEA,13115,47.09
LO ESPEJO,13116,18.55
LO PRADO,13117,22.46
MACUL,13118,29.82
MAIPU,13119,25.45
MARIA PINTO,13504,18.36
MELIPILLA,13501,15.49
NUNOA,13120,39.54
PADRE HURTADO,13604,24.18
PAINE,13404,19.14
PEDRO AGUIRRE CERDA,13121,24.81
PENAFLOR,13605,23.76
PENALOLEN,13122,29.44
PIRQUE,13202,29.66
PROVIDENCIA,13123,37
PUDAHUEL,13124,21.55
PUENTE ALTO,13201,21.13
QUILICURA,13125,21.51
QUINTA NORMAL,13126,22.92
RECOLETA,13127,22.33
RENCA,13128,18.97
SAN BERNARDO,13401,16.95
SAN JOAQUIN,13129,25.3
SAN JOSE DE MAIPO,13203,26.18
SAN MIGUEL,13130,28.29
SAN PEDRO,13505,14.44
SAN RAMON,13131,19.14
SANTIAGO,13101,22.62
TALAGANTE,13601,25.47
TILTIL,13303,26.46
VITACURA,13132,52.82
